"","age","income","dt_customer","recency","kidhome","teenhome","numdealspurchases","numwebvisitsmonth","totalpurchases","moneyspent","fish_ratio","meat_ratio","sweet_ratio","gold_ratio","fruit_ratio","wine_ratio","web_ratio","catalog_ratio","store_ratio"
"1",54,84835,10,0,0,0,1,1,14,1190,0.0932773109243697,0.318487394957983,0.158823529411765,0.183193277310924,0.0873949579831933,0.158823529411765,0.285714285714286,0.285714285714286,0.428571428571429
"2",63,57091,10,0,0,0,1,5,17,577,0.0121317157712305,0.110918544194107,0,0.0641247833622184,0.00866551126516464,0.804159445407279,0.411764705882353,0.176470588235294,0.411764705882353
"3",66,67267,10,0,0,1,1,2,10,251,0.0597609561752988,0.235059760956175,0.00796812749003984,0.119521912350598,0.0438247011952191,0.533864541832669,0.3,0.2,0.5
"5",35,21474,10,0,1,0,2,7,6,91,0.120879120879121,0.263736263736264,0,0.373626373626374,0.175824175824176,0.0659340659340659,0.5,0.166666666666667,0.333333333333333
"6",66,71691,10,0,0,0,1,2,16,1192,0.201342281879195,0.344798657718121,0.0268456375838926,0.0360738255033557,0.109060402684564,0.281879194630872,0.25,0.4375,0.3125
"7",70,63564,10,0,0,0,1,6,27,1215,0.0123456790123457,0.207407407407407,0.0279835390946502,0.0534979423868313,0.065843621399177,0.632921810699589,0.37037037037037,0.37037037037037,0.259259259259259
"9",70,65324,10,0,0,1,3,4,17,544,0.0386029411764706,0.1875,0.0588235294117647,0.00919117647058824,0,0.705882352941177,0.352941176470588,0.117647058823529,0.529411764705882
"10",70,65324,10,0,0,1,3,4,17,544,0.0386029411764706,0.1875,0.0588235294117647,0.00919117647058824,0,0.705882352941177,0.352941176470588,0.117647058823529,0.529411764705882
"11",77,81044,11,0,0,0,1,1,21,1208,0.0604304635761589,0.442880794701987,0.0811258278145695,0.021523178807947,0.021523178807947,0.372516556291391,0.238095238095238,0.285714285714286,0.476190476190476
"13",65,67786,11,0,0,0,1,1,15,1156,0.069204152249135,0.381487889273356,0.0173010380622837,0.0882352941176471,0.0709342560553633,0.372837370242215,0.2,0.4,0.4
"14",43,26872,11,0,0,0,1,6,4,72,0.0416666666666667,0.111111111111111,0.222222222222222,0.444444444444444,0.138888888888889,0.0416666666666667,0.25,0.25,0.5
"15",55,4428,11,0,0,1,0,1,25,359,0.00557103064066852,0.0334261838440111,0.011142061281337,0.894150417827298,0.011142061281337,0.0445682451253482,1,0,0
"16",47,54809,11,0,1,1,4,4,8,174,0.0747126436781609,0.327586206896552,0.0747126436781609,0.126436781609195,0.0344827586206897,0.362068965517241,0.25,0.125,0.625
"17",47,54809,11,0,1,1,4,4,8,174,0.0747126436781609,0.327586206896552,0.0747126436781609,0.126436781609195,0.0344827586206897,0.362068965517241,0.25,0.125,0.625
"18",66,32173,11,0,0,1,1,4,4,22,0,0.0909090909090909,0,0.0909090909090909,0,0.818181818181818,0.25,0,0.75
"19",64,47823,11,0,0,1,2,8,5,72,0.0277777777777778,0.0694444444444444,0.0138888888888889,0.138888888888889,0.0138888888888889,0.736111111111111,0.4,0,0.6
"20",66,30523,11,0,2,1,1,7,3,13,0,0.230769230769231,0,0.384615384615385,0,0.384615384615385,0.333333333333333,0,0.666666666666667
"22",58,43456,11,0,0,1,3,5,14,393,0.0636132315521628,0.173027989821883,0.0178117048346056,0.0178117048346056,0.0279898218829517,0.699745547073791,0.357142857142857,0.0714285714285714,0.571428571428571
"23",45,40662,11,0,1,0,2,4,6,92,0,0.25,0.0434782608695652,0.25,0.0217391304347826,0.434782608695652,0.333333333333333,0.166666666666667,0.5
